Fast Food Restaurant,Item,Type,Cal/g,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g),Protein (g)
McDonald's,Hamburger,Burger,2.449,98,240,8,3,0,480,32,6,12
McDonald's,Cheeseburger,Burger,2.566,113,290,11,5,0.5,680,33,7,15
McDonald's,Big Mac,Burger,2.512,211,530,27,10,1,960,47,9,24
McDonald's,Quarter Pounder with Cheese,Burger,2.574,202,520,26,12,1.5,1100,41,10,30
McDonald's,Bacon Clubhouse Burger,Burger,2.667,270,720,40,15,1.5,1470,51,14,39
McDonald's,Double Quarter Pounder with Cheese,Burger,2.650,283,750,43,19,2.5,1280,42,10,48
McDonald's,Chocolate Shake (12oz),Milkshake,2.062,257,530,15,10,1,160,86,63,11
McDonald's,Premium Crispy Chicken Classic Sandwich,Breaded Chicken Sandwich,2.394,213,510,22,3.5,0,990,55,10,24
McDonald's,Premium Grilled Chicken Classic Sandwich,Grilled Chicken Sandwich,1.750,200,350,9,2,0,820,42,8,28
McDonald's,Chicken McNuggets® (4 piece),Chicken Nuggets,2.923,65,190,12,2,0,360,12,0,9
McDonald's,Small French Fries,French Fries,3.067,75,230,11,1.5,0,130,30,0,2
Burger King,Hamburger,Burger,2.366,93,220,8,3,0.5,380,26,6,11
Burger King,Cheeseburger,Burger,2.596,104,270,12,5,0.5,560,27,7,13
Burger King,WHOPPER® Sandwich,Burger,2.423,260,630,38,11,1.5,810,49,11,26
Burger King,Bacon & Cheese WHOPPER® Sandwich,Burger,2.688,279,750,49,16,2,1260,46,8,33
Burger King,DOUBLE WHOPPER® Sandwich,Burger,2.493,341,850,54,18,2.5,870,49,11,43
Burger King,Double Bacon King,Burger,3.180,327,1040,69,28,2.5,1900,48,10,57
Burger King,Chocolate Milk Shake,Milkshake,1.778,343,610,16,10,0,500,103,88,14
Burger King,TENDERCRISP® Chicken Sandwich,Breaded Chicken Sandwich,2.661,248,660,40,7,0,1220,49,7,26
Burger King,TENDERGRILL® Chicken Sandwich,Grilled Chicken Sandwich,1.935,217,420,18,3,0,700,35,6,32
Burger King,Chicken Nuggets- 4pc,Chicken Nuggets,2.931,58,170,11,1.5,0,310,11,0,8
Burger King,French Fries - small (Salted),French Fries,2.500,128,320,14,2.5,0,480,44,0,4
Wendy's,Jr. Hamburger,Burger,2.451,102,250,10,4,1,600,25,5,14
Wendy's,Jr. Cheeseburger,Burger,2.566,113,290,13,6,1,800,26,6,16
Wendy's,Dave's Single Cheeseburger,Burger,2.348,247,580,31,13,2,1220,42,10,30
Wendy's,1/2 lb. Double w/ Cheese,Burger,2.492,329,820,47,20,3,1510,42,10,48
Wendy's,3/4 lb. Triple w/ Cheese,Burger,2.577,423,1090,66,29,4,1990,43,11,69
Wendy's,Baconator®,Burger,3.186,295,940,56,23,3,1890,41,9,57
Wendy's,Son of Baconator®,Burger,3.175,211,670,37,15,2,1670,41,9,38
Wendy's,"Chocolate Frosty Shake, Small",Milkshake,1.696,342,580,13,8,1,250,104,93,11
Wendy's,Homestyle Chicken Sandwich,Breaded Chicken Sandwich,2.065,247,510,20,4,0,1200,54,8,29
Wendy's,Ultimate Chicken Grill Sandwich,Grilled Chicken Sandwich,1.602,231,370,7,2,0,880,43,9,34
Wendy's,4-Piece Regular Chicken Nuggets,Chicken Nuggets,3.000,60,180,12,3,0,350,10,0,9
Wendy's,Small Natural-Cut Fries,French Fries,2.870,108,310,15,3,0,330,40,0,4
Chick-fil-A,Grilled Chicken Sandwich,Grilled Chicken Sandwich,1.399,193,270,3.5,1,0,940,33,7,28
Chick-fil-A,Chick-fil-A Chicken Sandwich,Breaded Chicken Sandwich,2.412,170,410,16,3.5,0,1300,38,5,28
Chick-fil-A,4-Piece Chicken Nuggets,Chicken Nuggets,2.281,57,130,6,1,0,545,6,1.5,13
Chick-fil-A,Small Waffle Fries,French Fries,3.294,85,280,14,5,1,105,37,0,3
Chick-fil-A,Chocolate Milkshake,Milkshake,1.340,418,560,22,13,0,380,82,79,12
Jack in the Box,Hamburger,Burger,2.667,105,280,11,4,0.5,680,32,5,14
Jack in the Box,Hamburger with Cheese,Burger,3.019,106,320,14,6,1,880,32,6,16
Jack in the Box,Jumbo Jack,Burger,2.248,218,490,23,8,1.5,910,44,7,26
Jack in the Box,Bacon Ultimate Cheeseburger™,Burger,3.204,284,910,56,24,3,2190,44,7,57
Jack in the Box,Big Cheeseburger,Burger,3.094,181,560,30,12,1.5,1170,43,6,29
Jack in the Box,Jr. Jack™ with Cheese,Burger,3.072,153,470,19,7,1,920,33,6,16
Jack in the Box,Sirloin Cheeseburger,Burger,2.784,370,1030,71,23,2.5,1990,52,9,41
Jack in the Box,Sourdough Jack®,Burger,2.960,223,660,41,15,1.5,1450,40,8,35
Jack in the Box,"Shake, Chocolate w/ Whipped Topping 16 oz.",Milkshake,2.128,376,800,38,26,1.5,300,101,88,13
Jack in the Box,Chicken Sandwich,Breaded Chicken Sandwich,2.789,147,410,21,3.5,0,880,42,4,15
Jack in the Box,Sourdough Grilled Chicken Club,Grilled Chicken Sandwich,2.069,261,540,26,7,0,1490,38,6,39
Jack in the Box,Chicken Nuggets 5 pc.,Chicken Nuggets,3.117,77,240,17,2,0,600,13,0,9
Jack in the Box,Sourdough Grilled Chicken Club,French Fries,3.084,107,330,15,1.5,0,610,45,0,4
Sonic,JR. BURGER,Burger,2.920,113,330,17,6,0.5,480,30,3,15
Sonic,JR. CHEESEBURGER,Burger,2.977,131,390,23,9,0.5,810,31,3,19
Sonic,SONIC® BURGER WITH KETCHUP,Burger,2.453,265,650,37,14,1.5,840,46,10,31
Sonic,SuperSONIC® BACON DOUBLE CHEESEBURGER WITH MAYO,Burger,3.131,396,1240,87,35,3.5,1690,44,8,67
